neighbourhood,price
Fort Wadsworth,800.0
Woodrow,700.0
Sea Gate,418.2307692307692
Tribeca,381.10714285714283
Flatiron District,367.4155844155844
Briarwood,366.1621621621622
Financial District,335.38505747126436
Willowbrook,309.0
Tottenville,309.0
Prince's Bay,300.0
